Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1881 -0.4 8.6 39.2 42.8 46.4 -0.4 33.8 26.6 6.8 -5.8 1.4 21.2 17.6 17.6 3.2 42.8 21.2 -0.4 1881
1882 62.6 59.0 42.8 5.0 8.6 -7.6 5.0 21.2 10.4 -7.6 5.0 -31.0 14.0 19.4 48.2 17.6 6.8 1.4 1882
1882 62.6 59.0 42.8 5.0 8.6 -7.6 5.0 21.2 10.4 -7.6 5.0 -31.0 14.0 19.4 48.2 17.6 6.8 1.4 1882
